,temp_c
2019-10-27 00:00:00,8.0
2019-10-27 01:00:00,7.1
2019-10-27 02:00:00,6.8
2019-10-27 03:00:00,6.4
2019-10-27 04:00:00,6.0
2019-10-27 05:00:00,5.4
2019-10-27 06:00:00,4.8
2019-10-27 07:00:00,5.0
2019-10-27 08:00:00,9.1
2019-10-27 09:00:00,12.8
2019-10-27 10:00:00,15.3
2019-10-27 11:00:00,19.1
2019-10-27 12:00:00,21.2
2019-10-27 13:00:00,22.1
2019-10-27 14:00:00,22.4
2019-10-27 15:00:00,23.1
2019-10-27 16:00:00,21.0
2019-10-27 17:00:00,17.9
2019-10-27 18:00:00,15.5
2019-10-27 19:00:00,14.4
2019-10-27 20:00:00,11.9
2019-10-27 21:00:00,11.0
2019-10-27 22:00:00,10.2
2019-10-27 23:00:00,9.1
